solver,throughput,theory,family
z3-4.8.3,82.3971383983882,Arrays,Z3
z3-4.8.4,82.3153780227568,Arrays,Z3
z3-4.8.5,85.0012116935186,Arrays,Z3
z3-4.8.6,80.7202342701062,Arrays,Z3
z3-4.8.7,80.849265254932,Arrays,Z3
z3-4.8.8,85.3732607792077,Arrays,Z3
z3-4.8.9,89.6614298280675,Arrays,Z3
z3-4.9.0,56.2390982937286,Arrays,Z3
z3-4.9.1,56.2264175682572,Arrays,Z3
cvc4-1.5,31.3417588013359,Bitvectors,CVC4/5
cvc4-1.6,15.4930982847068,Bitvectors,CVC4/5
cvc4-1.7,25.1277401797801,Bitvectors,CVC4/5
cvc4-1.8,23.6506670632856,Bitvectors,CVC4/5
cvc5-0.0.10,15.0627248565956,Bitvectors,CVC4/5
cvc5-0.0.11,15.1043450718521,Bitvectors,CVC4/5
cvc5-0.0.12,15.0785765376646,Bitvectors,CVC4/5
cvc5-0.0.2,15.2013495514884,Bitvectors,CVC4/5
cvc5-0.0.3,15.189321212567,Bitvectors,CVC4/5
cvc5-0.0.4,15.1676710542003,Bitvectors,CVC4/5
cvc5-0.0.5,15.2558160446542,Bitvectors,CVC4/5
cvc5-0.0.6,15.2691480637137,Bitvectors,CVC4/5
cvc5-0.0.7,15.2367342504136,Bitvectors,CVC4/5
cvc5-0.0.8,15.0736344077055,Bitvectors,CVC4/5
cvc5-1.0.0,15.0724026862817,Bitvectors,CVC4/5
cvc5-1.0.1,15.8986579563955,Bitvectors,CVC4/5
cvc5-1.0.2,15.8901123023846,Bitvectors,CVC4/5
cvc5-1.0.3,18.7472748500949,Bitvectors,CVC4/5
cvc5-1.0.4,18.7201225521411,Bitvectors,CVC4/5
cvc5-1.0.5,18.7052153867116,Bitvectors,CVC4/5
cvc5-1.0.6,18.6534126529975,Bitvectors,CVC4/5
cvc5-1.0.7,18.6911585501564,Bitvectors,CVC4/5
cvc5-1.0.8,18.7071606325166,Bitvectors,CVC4/5
cvc5-1.0.9,18.2004870936476,Bitvectors,CVC4/5
cvc5-1.1.0,18.2169669147087,Bitvectors,CVC4/5
cvc5-1.1.1,18.3094816109425,Bitvectors,CVC4/5
cvc5-1.1.2,18.1977243565548,Bitvectors,CVC4/5
z3-4.10.0,14.8486308648647,Bitvectors,Z3
z3-4.10.1,14.8920532939312,Bitvectors,Z3
z3-4.10.2,14.9145510200971,Bitvectors,Z3
z3-4.11.0,14.8200202387128,Bitvectors,Z3
z3-4.11.2,14.8421452667367,Bitvectors,Z3
z3-4.12.0,11.3143523313575,Bitvectors,Z3
z3-4.12.1,11.3460490821884,Bitvectors,Z3
z3-4.12.2,11.1496980609229,Bitvectors,Z3
z3-4.12.3,11.2467367609556,Bitvectors,Z3
z3-4.12.4,11.2454343882489,Bitvectors,Z3
z3-4.12.5,11.3544365754388,Bitvectors,Z3
z3-4.12.6,11.4030562099231,Bitvectors,Z3
z3-4.13.0,11.3754523108791,Bitvectors,Z3
z3-4.5.0,20.1413872218844,Bitvectors,Z3
z3-4.6.0,20.32255995627,Bitvectors,Z3
z3-4.7.1,19.4256626331052,Bitvectors,Z3
z3-4.8.1,19.3635567921556,Bitvectors,Z3
z3-4.8.10,19.6404286188238,Bitvectors,Z3
z3-4.8.11,15.3604898666086,Bitvectors,Z3
z3-4.8.12,15.3425529850983,Bitvectors,Z3
z3-4.8.13,14.9986287728611,Bitvectors,Z3
z3-4.8.14,14.943210642467,Bitvectors,Z3
z3-4.8.15,14.9836376362617,Bitvectors,Z3
z3-4.8.16,14.9589249065874,Bitvectors,Z3
z3-4.8.17,14.8651294928364,Bitvectors,Z3
z3-4.8.3,18.8091105143811,Bitvectors,Z3
z3-4.8.4,18.7986432025682,Bitvectors,Z3
z3-4.8.5,13.0746785426782,Bitvectors,Z3
z3-4.8.6,13.4838741785159,Bitvectors,Z3
z3-4.8.7,13.3540213322,Bitvectors,Z3
z3-4.8.8,13.7634553789654,Bitvectors,Z3
z3-4.8.9,12.9355329434369,Bitvectors,Z3
z3-4.9.0,14.8719897138684,Bitvectors,Z3
z3-4.9.1,14.877663436214,Bitvectors,Z3
cvc4-1.5,238.984289202511,Core,CVC4/5
cvc4-1.6,255.910959261764,Core,CVC4/5
cvc4-1.7,246.05898949324,Core,CVC4/5
cvc4-1.8,228.152427755859,Core,CVC4/5
cvc5-0.0.10,210.059737113498,Core,CVC4/5
cvc5-0.0.11,210.196575623493,Core,CVC4/5
cvc5-0.0.12,211.018918591628,Core,CVC4/5
cvc5-0.0.2,222.853160978246,Core,CVC4/5
cvc5-0.0.3,222.23979928846,Core,CVC4/5
cvc5-0.0.4,219.893081993524,Core,CVC4/5
cvc5-0.0.5,216.435483329253,Core,CVC4/5
cvc5-0.0.6,216.442954390498,Core,CVC4/5
cvc5-0.0.7,216.806295249631,Core,CVC4/5
cvc5-0.0.8,209.284898821068,Core,CVC4/5
cvc5-1.0.0,210.617618461279,Core,CVC4/5
cvc5-1.0.1,205.462741159632,Core,CVC4/5
cvc5-1.0.2,205.671015031385,Core,CVC4/5
cvc5-1.0.3,205.745966750498,Core,CVC4/5
cvc5-1.0.4,202.808974908153,Core,CVC4/5
cvc5-1.0.5,203.506958944974,Core,CVC4/5
cvc5-1.0.6,202.182061042412,Core,CVC4/5
cvc5-1.0.7,201.12024023295,Core,CVC4/5
cvc5-1.0.8,200.409144882103,Core,CVC4/5
cvc5-1.0.9,203.321961898735,Core,CVC4/5
cvc5-1.1.0,203.397340822266,Core,CVC4/5
cvc5-1.1.1,202.494827302499,Core,CVC4/5
cvc5-1.1.2,198.106987447359,Core,CVC4/5
z3-4.10.0,64.0434978402662,Core,Z3
z3-4.10.1,64.1402738648339,Core,Z3
z3-4.10.2,63.9563718656255,Core,Z3
z3-4.11.0,63.5468414597942,Core,Z3
z3-4.11.2,63.4406445139715,Core,Z3
z3-4.12.0,60.0280531254838,Core,Z3
z3-4.12.1,60.5506006127628,Core,Z3
z3-4.12.2,56.619314275799,Core,Z3
z3-4.12.3,58.5442658906322,Core,Z3
z3-4.12.4,58.4817526669182,Core,Z3
z3-4.12.5,58.1605975129498,Core,Z3
z3-4.12.6,58.7361507680823,Core,Z3
z3-4.13.0,58.6413673379977,Core,Z3
z3-4.5.0,126.024006391791,Core,Z3
z3-4.6.0,119.569797717551,Core,Z3
z3-4.7.1,100.401564205644,Core,Z3
z3-4.8.1,95.7315237487896,Core,Z3
z3-4.8.10,104.337880377306,Core,Z3
z3-4.8.11,65.3827195545388,Core,Z3
z3-4.8.12,65.8414271794125,Core,Z3
z3-4.8.13,65.1513262527697,Core,Z3
z3-4.8.14,65.2220535808854,Core,Z3
z3-4.8.15,64.5054431589817,Core,Z3
z3-4.8.16,64.0508835608186,Core,Z3
z3-4.8.17,63.8028075194007,Core,Z3
z3-4.8.3,95.2064321384463,Core,Z3
z3-4.8.4,95.4065254766844,Core,Z3
z3-4.8.5,96.089648035409,Core,Z3
z3-4.8.6,91.2786920121598,Core,Z3
z3-4.8.7,91.2599381532637,Core,Z3
z3-4.8.8,98.1400913838792,Core,Z3
z3-4.8.9,105.278779089006,Core,Z3
z3-4.9.0,63.5443889439231,Core,Z3
z3-4.9.1,63.5174705993379,Core,Z3
cvc4-1.5,179.623092927728,FP,CVC4/5
cvc4-1.6,203.714121504027,FP,CVC4/5
cvc4-1.7,5.24805454853444,FP,CVC4/5
cvc4-1.8,5.30352569303225,FP,CVC4/5
cvc5-0.0.10,4.58026247709984,FP,CVC4/5
cvc5-0.0.11,4.58726820681548,FP,CVC4/5
cvc5-0.0.12,4.60495420788793,FP,CVC4/5
cvc5-0.0.2,4.61249938309064,FP,CVC4/5
cvc5-0.0.3,4.61275496441141,FP,CVC4/5
cvc5-0.0.4,4.6062953514018,FP,CVC4/5
cvc5-0.0.5,4.62364541071183,FP,CVC4/5
cvc5-0.0.6,4.62763270460163,FP,CVC4/5
cvc5-0.0.7,4.62072154208063,FP,CVC4/5
cvc5-0.0.8,4.57409206055024,FP,CVC4/5
cvc5-1.0.0,4.58796019791612,FP,CVC4/5
cvc5-1.0.1,4.90769470835708,FP,CVC4/5
cvc5-1.0.2,4.9166857501111,FP,CVC4/5
cvc5-1.0.3,5.43780700365378,FP,CVC4/5
cvc5-1.0.4,5.45998653402057,FP,CVC4/5
cvc5-1.0.5,5.44379556981501,FP,CVC4/5
cvc5-1.0.6,5.39506864592646,FP,CVC4/5
cvc5-1.0.7,5.3997295567783,FP,CVC4/5
cvc5-1.0.8,5.41037908675986,FP,CVC4/5
cvc5-1.0.9,5.30518487507841,FP,CVC4/5
cvc5-1.1.0,5.30683964166759,FP,CVC4/5
cvc5-1.1.1,5.24288867495156,FP,CVC4/5
