solver,family,theory,cumulative_time
cvc5-1.0.8,CVC4/5,FP,0.0735299587249756
cvc5-1.0.9,CVC4/5,FP,0.0716726779937744
cvc5-1.1.0,CVC4/5,FP,0.0704555511474609
cvc5-1.1.1,CVC4/5,FP,0.073538064956665
cvc5-1.1.2,CVC4/5,FP,0.0720109939575195
z3-4.10.0,Z3,FP,0.195341348648071
z3-4.10.1,Z3,FP,0.195948839187622
z3-4.10.2,Z3,FP,0.202008008956909
z3-4.11.0,Z3,FP,0.204562425613403
z3-4.11.2,Z3,FP,0.20212984085083
z3-4.12.0,Z3,FP,0.208817005157471
z3-4.12.1,Z3,FP,0.207919120788574
z3-4.12.2,Z3,FP,0.219902753829956
z3-4.12.3,Z3,FP,0.210092782974243
z3-4.12.4,Z3,FP,0.217188596725464
z3-4.12.5,Z3,FP,0.215119600296021
z3-4.12.6,Z3,FP,0.217491388320923
z3-4.13.0,Z3,FP,0.21784520149231
z3-4.5.0,Z3,FP,0.107279777526855
z3-4.6.0,Z3,FP,0.110470294952393
z3-4.7.1,Z3,FP,0.134123563766479
z3-4.8.1,Z3,FP,0.139218091964722
z3-4.8.10,Z3,FP,0.124264240264893
z3-4.8.11,Z3,FP,0.190545320510864
z3-4.8.12,Z3,FP,0.18623948097229
z3-4.8.13,Z3,FP,0.189230442047119
z3-4.8.14,Z3,FP,0.193353652954102
z3-4.8.15,Z3,FP,0.195093870162964
z3-4.8.16,Z3,FP,0.195631504058838
z3-4.8.17,Z3,FP,0.201522827148437
z3-4.8.3,Z3,FP,0.138624906539917
z3-4.8.4,Z3,FP,0.138711214065552
z3-4.8.5,Z3,FP,0.135830402374268
z3-4.8.6,Z3,FP,0.143255710601807
z3-4.8.7,Z3,FP,0.145067691802979
z3-4.8.8,Z3,FP,0.135524988174438
z3-4.8.9,Z3,FP,0.127257585525513
z3-4.9.0,Z3,FP,0.19945216178894
z3-4.9.1,Z3,FP,0.204296112060547
cvc4-1.5,CVC4/5,Ints,3504.04399180412
cvc4-1.6,CVC4/5,Ints,3262.79444551468
cvc4-1.7,CVC4/5,Ints,3382.84159994125
cvc4-1.8,CVC4/5,Ints,3651.33585357666
cvc5-0.0.10,CVC4/5,Ints,4009.11849427223
cvc5-0.0.11,CVC4/5,Ints,4005.60750007629
cvc5-0.0.12,CVC4/5,Ints,3992.2748696804
cvc5-0.0.2,CVC4/5,Ints,3715.06265807152
cvc5-0.0.3,CVC4/5,Ints,3722.03576374054
cvc5-0.0.4,CVC4/5,Ints,3750.94698929787
cvc5-0.0.5,CVC4/5,Ints,3803.38352584839
cvc5-0.0.6,CVC4/5,Ints,3803.53747725487
cvc5-0.0.7,CVC4/5,Ints,3794.89048743248
cvc5-0.0.8,CVC4/5,Ints,4017.9910068512
cvc5-1.0.0,CVC4/5,Ints,4003.19056582451
cvc5-1.0.1,CVC4/5,Ints,4068.13852858543
cvc5-1.0.2,CVC4/5,Ints,4066.99465966225
cvc5-1.0.3,CVC4/5,Ints,4074.22894787788
cvc5-1.0.4,CVC4/5,Ints,4125.04060816765
cvc5-1.0.5,CVC4/5,Ints,4115.39844489098
cvc5-1.0.6,CVC4/5,Ints,4050.87408685684
cvc5-1.0.7,CVC4/5,Ints,4074.894520998
cvc5-1.0.8,CVC4/5,Ints,4092.87394523621
cvc5-1.0.9,CVC4/5,Ints,4027.37302851677
cvc5-1.1.0,CVC4/5,Ints,4024.30302453041
cvc5-1.1.1,CVC4/5,Ints,4036.45434522629
cvc5-1.1.2,CVC4/5,Ints,4117.67542886734
z3-4.10.0,Z3,Ints,12499.7429037094
z3-4.10.1,Z3,Ints,12484.3847696781
z3-4.10.2,Z3,Ints,12526.593993187
z3-4.11.0,Z3,Ints,12602.0865259171
z3-4.11.2,Z3,Ints,12636.8227107525
z3-4.12.0,Z3,Ints,13364.4195649624
z3-4.12.1,Z3,Ints,13253.1756846905
z3-4.12.2,Z3,Ints,14080.1721212864
z3-4.12.3,Z3,Ints,13674.2478702068
z3-4.12.4,Z3,Ints,13685.6772885323
z3-4.12.5,Z3,Ints,13754.8730096817
z3-4.12.6,Z3,Ints,13627.8518769741
z3-4.13.0,Z3,Ints,13649.4239220619
z3-4.5.0,Z3,Ints,6295.06336569786
z3-4.6.0,Z3,Ints,6629.57533955574
z3-4.7.1,Z3,Ints,7895.42131710052
z3-4.8.1,Z3,Ints,8145.2740240097
z3-4.8.10,Z3,Ints,7590.4242477417
z3-4.8.11,Z3,Ints,12202.3662314415
z3-4.8.12,Z3,Ints,12123.1522712708
z3-4.8.13,Z3,Ints,12259.5362110138
z3-4.8.14,Z3,Ints,12259.8621306419
z3-4.8.15,Z3,Ints,12387.303704977
z3-4.8.16,Z3,Ints,12482.6037044525
z3-4.8.17,Z3,Ints,12531.4916381836
z3-4.8.3,Z3,Ints,8229.38872528076
z3-4.8.4,Z3,Ints,8227.10295176506
z3-4.8.5,Z3,Ints,8165.53274846077
z3-4.8.6,Z3,Ints,8624.89534711838
z3-4.8.7,Z3,Ints,8596.73612356186
z3-4.8.8,Z3,Ints,8021.00356459618
z3-4.8.9,Z3,Ints,7506.32236170769
z3-4.9.0,Z3,Ints,12604.6774480343
z3-4.9.1,Z3,Ints,12610.6962182522
cvc4-1.5,CVC4/5,RealInts,3338.85088157654
cvc4-1.6,CVC4/5,RealInts,3042.17278885841
cvc4-1.7,CVC4/5,RealInts,3175.82129430771
cvc4-1.8,CVC4/5,RealInts,3435.78879141808
cvc5-0.0.10,CVC4/5,RealInts,3711.2387919426
cvc5-0.0.11,CVC4/5,RealInts,3709.41865181923
