solver,result,count,theory,family
cvc5-1.0.1,unsat,175749,Core,CVC4/5
cvc5-1.0.2,unsat,175749,Core,CVC4/5
cvc5-1.0.3,unsat,175749,Core,CVC4/5
cvc5-1.0.4,unsat,175749,Core,CVC4/5
cvc5-1.0.5,unsat,175749,Core,CVC4/5
cvc5-1.0.6,unsat,175749,Core,CVC4/5
cvc5-1.0.7,unsat,175749,Core,CVC4/5
cvc5-1.0.8,unsat,175749,Core,CVC4/5
cvc5-1.0.9,unsat,175749,Core,CVC4/5
cvc5-1.1.0,unsat,175749,Core,CVC4/5
cvc5-1.1.1,unsat,175749,Core,CVC4/5
cvc5-1.1.2,unsat,175749,Core,CVC4/5
z3-4.10.0,unsat,175749,Core,Z3
z3-4.10.1,unsat,175749,Core,Z3
z3-4.10.2,unsat,175749,Core,Z3
z3-4.11.0,unsat,175749,Core,Z3
z3-4.11.2,unsat,175749,Core,Z3
z3-4.12.0,unsat,175749,Core,Z3
z3-4.12.1,unsat,175749,Core,Z3
z3-4.12.2,unsat,175749,Core,Z3
z3-4.12.3,unsat,175749,Core,Z3
z3-4.12.4,unsat,175749,Core,Z3
z3-4.12.5,unsat,175749,Core,Z3
z3-4.12.6,unsat,175749,Core,Z3
z3-4.13.0,unsat,175749,Core,Z3
z3-4.5.0,unsat,175749,Core,Z3
z3-4.6.0,unsat,175749,Core,Z3
z3-4.7.1,unsat,175749,Core,Z3
z3-4.8.1,unsat,175749,Core,Z3
z3-4.8.10,unsat,175749,Core,Z3
z3-4.8.11,unsat,175749,Core,Z3
z3-4.8.12,unsat,175749,Core,Z3
z3-4.8.13,unsat,175749,Core,Z3
z3-4.8.14,unsat,175749,Core,Z3
z3-4.8.15,unsat,175749,Core,Z3
z3-4.8.16,unsat,175749,Core,Z3
z3-4.8.17,unsat,175749,Core,Z3
z3-4.8.3,unsat,175749,Core,Z3
z3-4.8.4,unsat,175749,Core,Z3
z3-4.8.5,unsat,175749,Core,Z3
z3-4.8.6,unsat,175749,Core,Z3
z3-4.8.7,unsat,175749,Core,Z3
z3-4.8.8,unsat,175749,Core,Z3
z3-4.8.9,unsat,175749,Core,Z3
z3-4.9.0,unsat,175749,Core,Z3
z3-4.9.1,unsat,175749,Core,Z3
z3-4.8.1,crash,1742,Core,Z3
z3-4.8.3,crash,1742,Core,Z3
z3-4.8.4,crash,1742,Core,Z3
z3-4.8.5,crash,1742,Core,Z3
z3-4.8.6,crash,1759,Core,Z3
z3-4.8.7,crash,1759,Core,Z3
cvc4-1.7,sat,546218,FP,CVC4/5
cvc4-1.8,sat,551367,FP,CVC4/5
cvc5-0.0.10,sat,528476,FP,CVC4/5
cvc5-0.0.11,sat,528409,FP,CVC4/5
cvc5-0.0.12,sat,529624,FP,CVC4/5
cvc5-0.0.2,sat,527093,FP,CVC4/5
cvc5-0.0.3,sat,527476,FP,CVC4/5
cvc5-0.0.4,sat,528609,FP,CVC4/5
cvc5-0.0.5,sat,528953,FP,CVC4/5
cvc5-0.0.6,sat,529078,FP,CVC4/5
cvc5-0.0.7,sat,529115,FP,CVC4/5
cvc5-0.0.8,sat,528122,FP,CVC4/5
cvc5-1.0.0,sat,529049,FP,CVC4/5
cvc5-1.0.1,sat,541958,FP,CVC4/5
cvc5-1.0.2,sat,542314,FP,CVC4/5
cvc5-1.0.3,sat,566591,FP,CVC4/5
cvc5-1.0.4,sat,567090,FP,CVC4/5
cvc5-1.0.5,sat,566509,FP,CVC4/5
cvc5-1.0.6,sat,564019,FP,CVC4/5
cvc5-1.0.7,sat,563824,FP,CVC4/5
cvc5-1.0.8,sat,563827,FP,CVC4/5
cvc5-1.0.9,sat,561352,FP,CVC4/5
cvc5-1.1.0,sat,561718,FP,CVC4/5
cvc5-1.1.1,sat,557734,FP,CVC4/5
cvc5-1.1.2,sat,557010,FP,CVC4/5
z3-4.10.0,sat,574058,FP,Z3
z3-4.10.1,sat,574200,FP,Z3
z3-4.10.2,sat,573807,FP,Z3
z3-4.11.0,sat,573716,FP,Z3
z3-4.11.2,sat,574112,FP,Z3
z3-4.12.0,sat,569980,FP,Z3
z3-4.12.1,sat,570332,FP,Z3
