solver,family,theory,type,num_triggers
z3-4.8.17,Z3,Strings,crash,0
z3-4.9.0,Z3,Arrays,unsoundness,0
z3-4.9.0,Z3,Arrays,invalid model,0
z3-4.9.0,Z3,Arrays,crash,0
z3-4.9.0,Z3,Bitvectors,unsoundness,0
z3-4.9.0,Z3,Bitvectors,invalid model,0
z3-4.9.0,Z3,Bitvectors,crash,0
z3-4.9.0,Z3,Core,unsoundness,0
z3-4.9.0,Z3,Core,invalid model,0
z3-4.9.0,Z3,Core,crash,0
z3-4.9.0,Z3,FP,unsoundness,0
z3-4.9.0,Z3,FP,invalid model,322
z3-4.9.0,Z3,FP,crash,0
z3-4.9.0,Z3,Ints,unsoundness,0
z3-4.9.0,Z3,Ints,invalid model,0
z3-4.9.0,Z3,Ints,crash,0
z3-4.9.0,Z3,RealInts,unsoundness,0
z3-4.9.0,Z3,RealInts,invalid model,0
z3-4.9.0,Z3,RealInts,crash,0
z3-4.9.0,Z3,Reals,unsoundness,0
z3-4.9.0,Z3,Reals,invalid model,0
z3-4.9.0,Z3,Reals,crash,0
z3-4.9.0,Z3,Strings,unsoundness,0
z3-4.9.0,Z3,Strings,invalid model,0
z3-4.9.0,Z3,Strings,crash,0
z3-4.9.1,Z3,Arrays,unsoundness,0
z3-4.9.1,Z3,Arrays,invalid model,0
z3-4.9.1,Z3,Arrays,crash,0
z3-4.9.1,Z3,Bitvectors,unsoundness,0
z3-4.9.1,Z3,Bitvectors,invalid model,0
z3-4.9.1,Z3,Bitvectors,crash,0
z3-4.9.1,Z3,Core,unsoundness,0
z3-4.9.1,Z3,Core,invalid model,0
z3-4.9.1,Z3,Core,crash,0
z3-4.9.1,Z3,FP,unsoundness,0
z3-4.9.1,Z3,FP,invalid model,322
z3-4.9.1,Z3,FP,crash,0
z3-4.9.1,Z3,Ints,unsoundness,0
z3-4.9.1,Z3,Ints,invalid model,0
z3-4.9.1,Z3,Ints,crash,0
z3-4.9.1,Z3,RealInts,unsoundness,0
z3-4.9.1,Z3,RealInts,invalid model,0
z3-4.9.1,Z3,RealInts,crash,0
z3-4.9.1,Z3,Reals,unsoundness,0
z3-4.9.1,Z3,Reals,invalid model,0
z3-4.9.1,Z3,Reals,crash,0
z3-4.9.1,Z3,Strings,unsoundness,0
z3-4.9.1,Z3,Strings,invalid model,0
z3-4.9.1,Z3,Strings,crash,0
z3-4.10.0,Z3,Arrays,unsoundness,0
z3-4.10.0,Z3,Arrays,invalid model,0
z3-4.10.0,Z3,Arrays,crash,0
z3-4.10.0,Z3,Bitvectors,unsoundness,0
z3-4.10.0,Z3,Bitvectors,invalid model,0
z3-4.10.0,Z3,Bitvectors,crash,0
z3-4.10.0,Z3,Core,unsoundness,0
z3-4.10.0,Z3,Core,invalid model,0
z3-4.10.0,Z3,Core,crash,0
z3-4.10.0,Z3,FP,unsoundness,0
z3-4.10.0,Z3,FP,invalid model,321
z3-4.10.0,Z3,FP,crash,0
z3-4.10.0,Z3,Ints,unsoundness,0
z3-4.10.0,Z3,Ints,invalid model,0
z3-4.10.0,Z3,Ints,crash,0
z3-4.10.0,Z3,RealInts,unsoundness,0
z3-4.10.0,Z3,RealInts,invalid model,0
